Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_x,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,Pos_y,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan
arizona,Salim Stoudamire,1,36,33,31.3,5.8,11.6,0.504,2.5,5,0.503,3.3,6.6,0.504,3.4,3.7,0.91,0.3,2.1,2.3,2.2,0.8,0.1,2.4,1.8,18.4,,,,,,,,,,,,,,,,
arizona,Hassan Adams,1,31,30,33.3,7.5,15.8,0.478,7,13.7,0.511,0.5,2.1,0.262,1.9,3.1,0.611,2.2,2.8,5,2.9,2.6,0.5,2.2,1.9,17.5,,,,,,,,,,,,,,,,
arizona,Andre Iguodala,1,30,30,32.1,4.5,10.1,0.45,3.8,7.6,0.493,0.8,2.4,0.315,3.1,3.9,0.788,2.4,6,8.4,4.9,1.6,0.4,2.8,2.5,12.9,,,,,,,,,,,,,,,,
arizona,Marcus Williams,1,33,25,28.8,4.8,10.6,0.453,3.9,8.5,0.457,0.9,2.1,0.435,2.5,3.4,0.726,1.8,2.8,4.7,1.8,1,0.5,1.8,1.8,13,PG,11.30,-,3.40,24.5,28.0,4,,,,,,,,,
arizona,Marcus Williams,1,30,29,32.9,6.5,13.2,0.494,5.8,10.6,0.546,0.8,2.7,0.288,2.7,3.9,0.695,2.1,4.6,6.7,2.2,1.1,0.8,2.7,2.2,16.6,PG,11.30,-,3.40,24.5,28.0,4,,,,,,,,,
arizona,Jordan Hill,1,34,34,35.7,7.4,13.8,0.537,7.4,13.8,0.537,0,0,0,3.4,5.3,0.654,4.2,6.8,11,1.5,0.9,1.7,2.9,3,18.3,,,,,,,,,,,,,,,,
arizona,Chase Budinger,1,35,35,37.6,6.3,13,0.48,4.3,8.2,0.528,1.9,4.8,0.399,3.6,4.5,0.801,1.4,4.8,6.2,3.4,1.4,0.5,2.4,1.9,18,,,,,,,,,,,,,,,,
arizona,Jerryd Bayless,1,30,30,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4,1,0.1,3,2.2,19.7,,,,,,,,,,,,,,,,
arizona,Derrick Williams,1,38,38,30,5.9,10,0.595,4.8,8.1,0.601,1.1,1.9,0.568,6.5,8.7,0.746,2.8,5.5,8.3,1.1,1,0.7,2.6,2.8,19.5,,,,,,,,,,,,,,,,
arizona,Solomon Hill,1,35,35,33,4.5,9.9,0.458,2.9,5.7,0.508,1.6,4.2,0.39,2.7,3.5,0.766,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4,SF,10.77,2.91,3.19,29.5,37.5,14,SF,7.60%,9.00,10.50,6ft5.5in,6ft7in,8ft7in,226,6ft9in
arizona,Nick Johnson,1,38,38,33.1,5.4,12.5,0.432,3.8,8,0.469,1.6,4.4,0.367,3.8,4.9,0.781,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2,16.3,SG,10.80,2.95,3.27,33.5,41.5,-,SG,6.05%,8.75,9.75,6ft1.5in,6ft3in,8ft0.5in,198,6ft7.25in
arizona,Grant Jerrett,1,34,2,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,PF,11.85,3.23,3.51,28.5,34.0,2,PF,10.05%,8.50,9.25,6ft8.75in,6ft10.25in,9ft1in,232,7ft2in
arizona,Rondae Hollis-Jefferson,1,38,25,28.7,3.6,7.2,0.502,3.5,6.5,0.537,0.2,0.8,0.207,3.8,5.4,0.707,2,4.8,6.8,1.6,1.2,0.8,1.6,2.5,11.2,SF,10.41,3.19,3.12,32.0,38.0,13,SF,5.00%,8.75,9.75,6ft5.5in,6ft7in,8ft8in,210.8,7ft2in
arizona,Aaron Gordon,1,38,38,31.2,5,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2,4.7,0.422,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,PF,10.81,2.76,3.27,32.5,39.0,-,PF,5.05%,8.75,10.50,6ft7.5in,6ft8.75in,8ft9in,220.1,6ft11.75in
arizona,Stanley Johnson,1,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,SF,-,-,-,-,-,-,SF,7.50%,9.00,9.00,6ft5in,6ft6.5in,8ft6in,241.8,6ft11.5in
arizona,Kadeem Allen,1,34,33,30,3.1,6.9,0.453,2.2,4.7,0.466,0.9,2.2,0.427,2.5,3.4,0.741,0.4,3.7,4,3,1.6,0.6,1.9,2.4,9.8,PG,11.24,2.98,3.15,33.0,35.5,7,PG,6.40%,8.50,8.75,6ft1in,6ft2.25in,8ft3.5in,192.4,6ft9.25in
arizona,Lauri Markkanen,1,37,37,30.8,5,10.2,0.492,3.1,5.8,0.545,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2,15.6,,,,,,,,,,,,,,,,
arizona,Deandre Ayton,1,35,35,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1,0.343,4,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2,2.3,20.1,,,,,,,,,,,,,,,,
arizona-state,Eddie House,1,32,0,37.2,8.2,19.5,0.422,5.9,13.2,0.449,2.3,6.3,0.365,4.3,5.1,0.835,0,0,5.5,3.5,2.3,0.1,2.3,2.1,23,,,,,,,,,,,,,,,,
arizona-state,Ike Diogu,1,32,32,36.4,7.2,12.4,0.575,6.6,11,0.598,0.6,1.4,0.4,7.8,9.7,0.797,3.7,6.1,9.8,1.3,0.6,2.3,3.6,2.8,22.6,PF,11.94,-,3.45,28.0,31.0,21,PF,-%,-,-,6ft6.5in,6ft8in,9ft1in,255.4,7ft3.5in
arizona-state,Jeff Ayres,1,35,35,32.5,5.7,8.6,0.66,5.7,8.5,0.662,0,0,0,3.2,4.1,0.779,2.5,5.7,8.2,0.9,0.5,0.9,1.2,2.7,14.5,PF,11.98,-,3.14,31.0,35.0,15,PF,5.50%,-,-,6ft8.75in,6ft10in,8ft11in,239.6,7ft1in
arizona-state,James Harden,1,35,35,35.8,6.3,12.9,0.489,4.7,8.3,0.564,1.7,4.7,0.356,5.8,7.7,0.756,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8,20.1,SG,11.10,-,3.13,31.5,37.0,17,SG,10.10%,-,-,6ft4in,6ft5.25in,8ft7.5in,222,6ft10.75in
arizona-state,Carrick Felix,1,35,34,35.3,5.4,10.8,0.5,3.9,6.8,0.573,1.5,4,0.374,2.3,3.5,0.664,2.1,6.1,8.1,1.6,1.4,1.1,2,3,14.6,,,,,,,,,,,,,,,,
arkansas,Joe Johnson,1,30,27,29.1,5.4,11.5,0.468,4.2,8.9,0.476,1.2,2.6,0.443,2.3,3,0.747,2.2,4.2,6.4,2.6,1.4,0.4,2.3,1.5,14.2,,,,,,,,,,,,,,,,
arkansas,Ronnie Brewer,1,32,31,34.8,6.2,14,0.441,4.6,9.3,0.493,1.6,4.7,0.338,4.5,6,0.75,1.2,3.6,4.8,3.3,2.6,0.5,2.2,1.4,18.4,,,,,,,,,,,,,,,,
arkansas,Sonny Weems,1,34,34,31.4,5.8,12.5,0.464,4.2,8.2,0.513,1.6,4.3,0.37,1.8,2.2,0.803,1.6,2.8,4.5,2.6,1.3,0.2,2.8,2.2,15,,,,,,,,,,,,,,,,
arkansas,Bobby Portis,1,36,36,29.9,6.9,12.9,0.536,6.6,12.1,0.541,0.4,0.8,0.467,3.2,4.3,0.737,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2,17.5,PF,11.78,3.28,3.56,25.0,31.5,5,PF,8.90%,9.50,9.25,6ft9.5in,6ft10.5in,9ft0.5in,246.2,7ft2in
auburn,Jamison Brewer,1,32,32,32.3,3,6.5,0.469,2.7,5.1,0.534,0.3,1.4,0.227,2,3.8,0.529,2.8,4.4,7.2,5.8,1.5,0.1,2.9,1.5,8.4,PG,9.65,-,3.15,26.0,32.5,12,,,,,,,,,
auburn,Chris Porter,1,26,26,29,5.4,11.7,0.464,5.3,11,0.477,0.2,0.7,0.235,3.6,5.3,0.676,0,0,7.3,1.2,2,0.3,2.1,2.7,14.6,,,,,,,,,,,,,,,,
auburn,Mamadou NDiaye,1,34,0,26.6,2.9,5.5,0.535,2.9,5.5,0.535,0,0,0,3,4.6,0.665,0,0,7.9,0.5,0.8,1.9,0,0,8.9,,,,,,,,,,,,,,,,
baylor,Ekpe Udoh,1,36,36,35.1,5.3,10.8,0.49,5.1,10.1,0.505,0.2,0.7,0.269,3.1,4.5,0.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,PF,11.15,-,3.29,31.0,33.5,10,PF,8.00%,9.50,8.75,6ft8.75in,6ft9.75in,8ft10.5in,237.4,7ft4.5in
baylor,Quincy Acy,1,38,38,29.7,4.2,7.2,0.577,4.1,7.1,0.576,0.1,0.1,0.6,3.6,4.6,0.782,2.6,4.8,7.4,1,0.9,1.8,1.9,3.1,12,PF,10.48,-,3.28,32.0,37.0,13,PF,7.10%,9.50,11.00,6ft6.5in,6ft7.75in,8ft10.5in,223.8,7ft2.75in
baylor,Cory Jefferson,1,38,38,29,4.8,9.7,0.5,4.5,8.7,0.515,0.4,1,0.368,3.6,5.6,0.64,2.8,5.4,8.2,1,0.4,1.3,1.3,2.2,13.7,PF,12.63,3.39,3.36,33.0,37.5,-,PF,5.25%,8.75,9.75,6ft7.75in,6ft9in,8ft9in,218.4,7ft0.5in
baylor,Perry Jones,1,33,33,30.7,5.5,11,0.5,5.2,10,0.52,0.3,1,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,,,,,,,,,,,,,,,,
baylor,Quincy Miller,1,37,35,24.4,3.7,8.4,0.447,3.1,6.5,0.475,0.6,1.9,0.348,2.5,3.1,0.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,SF,11.05,-,3.48,30.5,36.0,8,SF,7.80%,9.25,10.25,6ft8.75in,6ft10in,8ft9in,218.7,7ft1.25in
baylor,Pierre Jackson,1,36,35,34.8,6,14.1,0.427,3.6,7.3,0.49,2.4,6.8,0.359,5.3,6.7,0.8,0.7,3.1,3.8,7.1,1.5,0,3.4,2.2,19.8,PG,-,-,-,-,-,-,PG,4.50%,7.50,8.25,5ft9.5in,5ft10.5in,7ft6in,176,5ft10in
boise-state,Chandler Hutchison,1,31,31,31,6.6,13.9,0.475,5.1,9.8,0.523,1.5,4.1,0.359,5.3,7.2,0.728,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20,,,,,,,,,,,,,,,,
brigham-young,Travis Hansen,1,32,32,32,5.3,12,0.441,4.2,8.7,0.48,1.1,3.3,0.34,5.1,6.4,0.799,1.7,3.1,4.8,2.4,0.9,0.6,2.6,3,16.8,SG,10.72,-,3.18,31.5,35.0,16,,,,,,,,,
brigham-young,Rafael Araujo,1,30,30,29.8,7,12.3,0.573,6.8,11.3,0.601,0.3,1,0.267,4.1,5.6,0.722,2.9,7.2,10.1,1.2,1.4,0.8,2.9,3.1,18.4,,,,,,,,,,,,,,,,
brigham-young,Jimmer Fredette,1,37,37,35.8,9.4,20.7,0.452,6,12.2,0.491,3.4,8.5,0.396,6.8,7.6,0.894,0.6,2.8,3.4,4.3,1.3,0,3.5,1.3,28.9,,,,,,,,,,,,,,,,
brigham-young,James Anderson,1,29,0,3.7,0.4,0.9,0.48,0.4,0.9,0.48,0,0,0,0.3,0.5,0.667,0.4,0.5,1,0.1,0.1,0.2,0.2,1.1,1.2,SF,11.86,-,3.19,30.0,35.5,14,SF,7.90%,8.50,7.25,6ft4.75in,6ft5.75in,8ft8in,207.6,6ft8.5in
bucknell,Mike Muscala,1,34,34,31.7,6.7,13.1,0.509,6.6,12.6,0.519,0.1,0.5,0.25,5.3,6.7,0.789,2.9,8.2,11.1,2.3,0.5,2.4,1.7,2.2,18.7,,,,,,,,,,,,,,,,
butler,Shelvin Mack,1,38,37,32.1,5.3,13,0.408,3,6.5,0.462,2.3,6.5,0.354,3.2,4.1,0.769,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7,16,PG,11.23,-,3.18,32.0,39.0,17,PG,7.10%,8.25,9.25,6ft1in,6ft2.5in,8ft0.5in,209,6ft7.5in
butler,Gordon Hayward,1,37,37,33.5,4.7,10.1,0.464,3.4,5.8,0.592,1.3,4.3,0.294,4.8,5.8,0.829,1.9,6.3,8.2,1.7,1.1,0.8,2.3,2.1,15.5,SF,11.73,-,3.22,30.5,34.5,10,SF,6.90%,8.50,9.25,6ft6.75in,6ft8in,8ft7in,211,6ft7.75in
california,Sean Lampley,1,31,31,34.6,6.7,13.4,0.502,6.5,12.4,0.527,0.2,1.1,0.212,5.8,7.9,0.738,1.5,5.7,7.2,3.3,0.9,0.5,3.6,2.5,19.5,SF,11.06,-,3.12,36.0,40.0,12,,,,,,,,,
california,Jamal Sampson,1,32,31,24.9,2.4,5.7,0.426,2.4,5.7,0.426,0,0,0,1.6,3,0.526,2.5,4.1,6.5,1.2,0.5,1.7,1.7,2.7,6.4,,,,,,,,,,,,,,,,
california,Leon Powe,1,27,27,35.3,6.6,13.3,0.496,6.5,13,0.5,0.1,0.3,0.333,7.2,10,0.719,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5,20.5,,,,,,,,,,,,,,,,
california,Ryan Anderson,1,33,33,32.8,7,14.2,0.49,5,9.5,0.53,1.9,4.7,0.41,5.2,6,0.869,3,6.9,9.9,1.4,0.4,0.5,2.2,2.2,21.1,,,,,,,,,,,,,,,,
california,Allen Crabbe,1,33,33,36.2,6.5,14.2,0.459,4.6,8.6,0.532,1.9,5.6,0.348,3.4,4.2,0.813,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,SG,10.67,3.10,3.32,30.5,36.0,10,SG,4.65%,8.25,8.50,6ft5.25in,6ft6.25in,8ft7.5in,197.4,6ft11.25in
california,Tyrone Wallace,1,28,25,32.2,5.4,12.3,0.44,4.5,9.3,0.486,0.9,3,0.298,3.6,5.5,0.649,1,4.3,5.3,4.4,1,0.4,2.6,2.3,15.3,,,,,,,,,,,,,,,,
california,Jabari Bird,1,27,25,32,5.2,11.8,0.44,2.8,5.2,0.536,2.4,6.6,0.365,1.6,2,0.764,1,3.7,4.7,1,0.7,0.2,1.9,1.9,14.3,,,,,,,,,,,,,,,,
california,Jaylen Brown,1,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2,0.8,0.6,3.1,3.2,14.6,,,,,,,,,,,,,,,,
california,Ivan Rabb,1,31,30,32.6,4.9,10.1,0.484,4.6,9.4,0.49,0.3,0.6,0.4,4,6,0.663,3,7.4,10.5,1.5,0.7,1,2.2,3.1,14,PF,12.68,3.23,3.35,28.5,32.5,3,PF,6.80%,8.75,9.00,6ft8.75in,6ft10in,9ft1in,219.6,7ft1.5in
charlotte,Rodney White,1,28,26,30.9,6.7,13.8,0.487,5.5,10.4,0.533,1.2,3.4,0.347,4.1,5.7,0.713,1.8,4.7,6.5,1.5,1.2,0.7,2.9,2.6,18.7,SF,12.07,-,3.47,27.5,33.0,16,,,,,,,,,
cincinnati,James White,1,33,33,33.5,5.4,11,0.488,3.9,7,0.552,1.5,4,0.374,4.1,4.8,0.838,1.3,3.8,5.1,2,1.1,0.8,2.3,2.7,16.3,,,,,,,,,,,,,,,,
clemson,Trevor Booker,1,32,32,30.8,5.9,11.3,0.521,5.6,10.2,0.547,0.3,1.1,0.265,3.2,5.3,0.591,2.8,5.6,8.4,2.5,1.3,1.4,1.9,2,15.2,PF,11.15,-,3.10,31.0,36.0,22,PF,7.30%,9.00,9.50,6ft6.25in,6ft7.5in,8ft10in,235.8,6ft9.75in
clemson,K.J. McDaniels,1,36,35,33.7,5.8,12.6,0.459,4.6,8.8,0.527,1.2,3.8,0.304,4.3,5.1,0.842,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,SF,12.71,3.20,3.10,33.0,37.0,-,SF,4.45%,8.75,9.75,6ft4.5in,6ft6in,8ft6in,195.6,6ft11.25in
cleveland-state,Norris Cole,1,36,36,35.7,7,15.9,0.439,5.6,11.8,0.473,1.4,4.1,0.342,6.3,7.4,0.853,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7,PG,10.07,-,3.22,29.5,38.5,11,PG,4.70%,8.50,9.50,6ft0.25in,6ft1.75in,7ft11.5in,174.4,6ft2.25in
college-of-charleston,Andrew Goudelock,1,37,37,35.2,8.6,18.9,0.455,5.1,10.2,0.496,3.5,8.7,0.407,3,3.6,0.821,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7,PG,10.33,-,3.10,32.5,37.0,4,PG,9.90%,8.25,9.25,6ft1.25in,6ft2.75in,8ft0.5in,197.6,6ft4.25in
colorado,David Harrison,1,29,28,31.6,6.4,10.2,0.631,6.4,10.1,0.633,0,0,0,4.3,8,0.539,3.7,5,8.8,0.9,0.6,2.9,2.7,3.2,17.1,,,,,,,,,,,,,,,,
colorado,Alec Burks,1,38,37,31.4,6.6,14.1,0.469,5.9,11.6,0.508,0.7,2.5,0.292,6.6,7.9,0.825,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,SG,10.96,-,3.17,29.0,36.0,5,SG,5.10%,9.00,8.25,6ft5in,6ft6in,8ft7.5in,192.6,6ft10in
colorado,Andre Roberson,1,31,30,33.4,4.3,8.9,0.48,3.6,7,0.521,0.6,1.9,0.328,1.7,3.2,0.551,3,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,,,,,,,,,,,,,,,,
colorado,Spencer Dinwiddie,1,17,17,31.1,3.6,7.7,0.466,2.1,4,0.515,1.5,3.7,0.413,6,7,0.857,0.5,2.6,3.1,3.8,1.5,0.2,1.8,1.9,14.7,PG,-,-,-,-,-,-,PG,5.35%,8.25,9.00,6ft4.5in,6ft6in,8ft7in,204.9,6ft8.25in
colorado,Derrick White,1,34,32,32.8,6,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,PG,10.84,2.92,3.08,31.0,36.5,10,PG,6.20%,8.25,8.50,6ft3.25in,6ft4.5in,8ft5.5in,189.8,6ft7.5in
connecticut,Jake Voskuhl,1,34,0,22.9,3.2,5.6,0.571,3.2,5.6,0.571,0,0,0,2.1,3.1,0.683,0,0,6.4,1.1,0.5,1.4,1.8,2.7,8.5,,,,,,,,,,,,,,,,
connecticut,Khalid El-Amin,1,35,0,31.9,5.6,13.6,0.411,3.8,8.5,0.443,1.8,5.1,0.356,3.1,3.4,0.892,0,0,3.1,5.2,1.7,0.1,2.7,2.1,16,PG,10.59,-,3.32,27.5,32.0,6,,,,,,,,,
connecticut,Caron Butler,1,34,34,36,7.4,15.3,0.486,6.6,13.1,0.5,0.9,2.2,0.4,4.6,5.9,0.779,3.2,4.4,7.5,3,2.1,0.4,2.9,2.2,20.3,,,,,,,,,,,,,,,,
connecticut,Ben Gordon,1,39,39,34.5,6.1,14.1,0.434,3.5,8,0.434,2.7,6.2,0.433,3.6,4.4,0.829,0.9,3.8,4.7,4.5,1.4,0.2,2.8,2.3,18.5,,,,,,,,,,,,,,,,
connecticut,Emeka Okafor,1,36,36,32.4,7.3,12.1,0.599,7.3,12.1,0.599,0,0,0,3.1,6.1,0.518,3.8,7.7,11.5,1,1,4.1,2.3,2.4,17.6,,,,,,,,,,,,,,,,
connecticut,Hilton Armstrong,1,34,33,27.7,3.5,5.7,0.608,3.4,5.6,0.609,0,0.1,0.5,2.7,3.9,0.692,2,4.6,6.6,0.7,0.6,3.1,2.3,2.8,9.7,,,,,,,,,,,,,,,,
connecticut,Josh Boone,1,34,32,27.1,4,7.1,0.564,4,7.1,0.564,0,0,0,2.2,4.1,0.547,3.1,3.9,7,0.6,0.4,2,1.2,2.1,10.3,,,,,,,,,,,,,,,,
connecticut,Charlie Villanueva,1,31,31,25.7,5.1,9.8,0.521,4.9,9.5,0.522,0.2,0.4,0.5,3.1,4.5,0.688,2.6,5.6,8.3,1.3,0.6,1.8,2.3,2.2,13.6,,,,,,,,,,,,,,,,
connecticut,Rudy Gay,1,33,33,30.8,5.7,12.3,0.461,4.8,9.6,0.5,0.8,2.7,0.318,3.1,4.2,0.732,2,4.4,6.4,2.1,1.8,1.6,2.5,2.3,15.2,,,,,,,,,,,,,,,,
connecticut,Hasheem Thabeet,1,36,36,31.8,4.9,7.7,0.64,4.9,7.7,0.64,0,0,0,3.7,5.9,0.627,3.7,7.1,10.8,0.5,0.6,4.2,1.9,2.5,13.6,C,-,-,-,-,-,-,C,6.70%,-,-,7ft1.25in,7ft2.5in,9ft5in,267.2,7ft6.25in
connecticut,A.J. Price,1,35,35,31.8,4.9,11.9,0.408,2.5,6.1,0.413,2.3,5.8,0.402,2.7,3.7,0.721,0.6,2.9,3.5,4.7,0.7,0,2.7,1.3,14.7,PG,10.99,-,3.22,26.0,31.0,11,PG,12.40%,-,-,6ft0.5in,6ft2in,8ft1in,192.8,6ft3.75in
connecticut,Kemba Walker,1,41,41,37.6,7.7,18,0.428,5.9,12.5,0.471,1.8,5.5,0.33,6.3,7.7,0.819,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,PG,10.87,-,3.16,32.0,39.5,7,PG,5.90%,8.00,9.00,5ft11.5in,6ft1in,7ft7.5in,184,6ft3.5in
connecticut,Shabazz Napier,1,40,40,35.1,5.3,12.4,0.429,3.2,7,0.448,2.2,5.4,0.405,5.2,6,0.87,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,PG,11.60,3.13,3.20,30.5,37.5,-,PG,7.35%,8.25,8.50,5ft11in,6ft1in,7ft9in,175.2,6ft3.25in
connecticut,Jeremy Lamb,1,34,34,37.2,6.4,13.4,0.478,4.3,7.1,0.601,2.1,6.2,0.336,2.9,3.6,0.81,0.9,3.9,4.9,1.7,1.2,0.6,2,1.7,17.7,SG,10.98,-,3.25,31.5,38.0,5,SG,4.50%,8.75,9.25,6ft4in,6ft5.25in,8ft6in,179.2,6ft11in
connecticut,Andre Drummond,1,34,30,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0,0.1,0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,C,10.83,-,3.39,31.5,33.5,10,C,7.50%,9.50,9.50,6ft9.75in,6ft11.75in,9ft1.5in,278.6,7ft6.25in
connecticut,Daniel Hamilton,1,36,36,31.9,4.4,11.4,0.387,3.1,7.5,0.416,1.3,3.9,0.331,2.4,2.8,0.86,0.9,8,8.9,4.7,1.1,0.4,2.4,1.8,12.5,,,,,,,,,,,,,,,,
davidson,Stephen Curry,1,34,34,33.7,9.2,20.2,0.454,5.4,10.3,0.519,3.8,9.9,0.387,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,,,,,,,,,,,,,,,,
depaul,Bobby Simmons,1,29,28,33.8,5.1,11.5,0.447,3,5.8,0.524,2.1,5.7,0.37,4.3,5.3,0.8,2.6,5.9,8.6,2.5,0.8,0.1,2.1,3.3,16.7,SF,11.69,-,3.41,27.5,34.0,12,,,,,,,,,
depaul,Steven Hunter,1,30,27,26.9,4.6,7.8,0.592,4.6,7.8,0.592,0,0,0,2.2,4.2,0.536,2.2,3.4,5.6,0.5,0.2,2.4,1.5,2.3,11.4,,,,,,,,,,,,,,,,
depaul,Quentin Richardson,1,33,0,34.8,6.1,14.2,0.432,3.9,8.4,0.464,2.2,5.8,0.384,2.5,3.6,0.706,0,0,9.8,2.2,1.1,0.3,2.3,2.3,17,,,,,,,,,,,,,,,,
depaul,Wilson Chandler,1,34,32,31.7,5.7,12.7,0.45,4.6,9.2,0.494,1.1,3.4,0.333,2.1,3.1,0.654,1.9,5.1,6.9,1.4,0.6,1.4,1.6,2.8,14.6,,,,,,,,,,,,,,,,
detroit-mercy,Willie Green,1,30,30,34,8.1,16.6,0.49,6.9,13.3,0.519,1.2,3.3,0.374,5.1,6.3,0.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4,22.6,,,,,,,,,,,,,,,,
